Road Name,Start Latitude,Start Longitude,End Latitude,End Longitude
Shantinagar Road,23.741509098242403,90.41212624165848,23.737029295032713,90.41869064284862
রোড নং ৪৮,23.798556674339565,90.41278968593917,23.794985905584213,90.4140562570418
Road Number 15,23.753587882943023,90.3727495799456,23.75361020566295,90.37272752005805
Road Number 15,23.753588303991123,90.37271487370106,23.75540546049649,90.37559456784464
Central Road,23.74192466230913,90.38813634035716,23.74347419758567,90.38815211282702
Satmasjid Road,23.751531369869056,90.36773369646534,23.739582778397804,90.37542217375682
Lalbagh Road,23.72170487736919,90.38342252138182,23.721927629293177,90.38489241821082
Azimpur Road,23.723858386361073,90.38375943537324,23.720592486318054,90.3839915939397
Satarkul Road,23.786420688576243,90.42947333816431,23.787457054895185,90.4320294814301
Satarkul Road,23.785942457825385,90.42636084052708,23.786406177447674,90.42868148472951
Purbanchal Road,23.785393486904454,90.43414109658329,23.785483244579225,90.4356027630966
Malibag College Road,23.749220269252348,90.4139897507693,23.746071079055355,90.41410381917785
Malibagh Bazar Road,23.74932698109174,90.41399394446074,23.745640381838783,90.4141918866992
Outer Circular Road,23.744107072809868,90.41466366011531,23.744400364940432,90.41835787604998
Old Elephant Road,23.749413163922014,90.40831967091248,23.751508835995708,90.40956815790747
Greenway Road,23.7518241359995,90.40783022476637,23.753906349535995,90.40776367319194
Nayatola Road,23.75337700554995,90.40632159705251,23.75426638509373,90.40883054972312
Green Road,23.742003196329563,90.38397745222431,23.750563744623022,90.38692878553672
New Paltan Line,23.731147807011666,90.38029554296082,23.73255183933088,90.38697716805007
Kazi Nazrul Islam Avenue,23.739016606494076,90.39590030944424,23.741079686269757,90.39592968351712
null,23.741291210701334,90.42344384679319,23.74325293473119,90.4241485316021
Toyenbee Circular Road,23.72996333609838,90.41588570030052,23.72689520995077,90.42113554626246
Unknown Road,23.74234836039399,90.36021331530964,23.73738124118239,90.3613807973253
null,23.738384843194723,90.36117262816947,23.733249241342435,90.36241296938977
null,23.720346205641064,90.37782717777941,23.71668127917897,90.37942662539672
null,23.720346205641064,90.37782717777941,23.71668127917897,90.37942662539672
Lalbagh Road,23.719872531871985,90.38785255092228,23.720638529165697,90.38454131001401
Shaista Khan Road,23.71726594200379,90.38972990625865,23.72061687559375,90.38944608560939
null,23.727886836487855,90.39712411293391,23.725411111864403,90.39942351063246
null,23.731727732843268,90.39665699672912,23.728692358739394,90.39962333874865
Gulshan Avenue,23.79235143455149,90.41541778333641,23.78532357474056,90.41709713682633
null,23.778863364126252,90.35755878992148,23.767628568626208,90.36936919182318
Kallyanpur Main Road,23.778965770270958,90.36120872269419,23.779953844696706,90.36131079021942
Taltola Govt. Colony Road,23.78168813308112,90.37412202005709,23.78256586235392,90.37755332799685
null,23.783814558342925,90.37657545780769,23.784864394491407,90.37658013102242
Mirpur Road,23.801460815699684,90.38042448404292,23.806424399315503,90.3735451764822
বেগম রোকেয়া সরণী,23.82043030331016,90.3648332074444,23.815885321680582,90.36607607960235
null,23.815031379530907,90.36648191540905,23.822107172607858,90.36460323382062
null,23.805336270596825,90.36381886730084,23.806873736238174,90.36747701038195
Mirpur Road,23.805711992408504,90.36474328297845,23.806815570691413,90.36762134294128
Road No. 21,23.824918874635543,90.369895168418,23.825117706648854,90.37118660143659
null,23.825147163271666,90.36885273412355,23.825305134278807,90.37003768894328
Road Number 19,23.825479513937594,90.36879709108302,23.82567474130846,90.3699681074508
null,23.82583737290429,90.3685949255622,23.82599283610554,90.36988430262915
null,23.828476899240997,90.36820353744872,23.82866697766437,90.36948164730791
null,23.828288336784226,90.36690212142139,23.82843064531025,90.36791713759413
null,23.825482646393652,90.36646689738109,23.825756513805118,90.36843153278721
Road Number 8,23.82628902798332,90.36862372825033,23.826666458238265,90.37070868806126
null,23.825670018335188,90.37253818906669,23.82615430285614,90.37523034026407
লাল ডেগ রোড,23.826216246094702,90.37363803132416,23.82664984793668,90.37603538649358
কালশী রোড,23.820668111951633,90.36758861579477,23.821479762480564,90.37328500207929
কালশী রোড,23.820668111951633,90.36758861579477,23.82162391131746,90.37332882410334
Road Number 5,23.81674022200056,90.35639261858165,23.81773027469113,90.35972443457786
রাস্তা-4,23.817360852928573,90.35825602735167,23.81773027469113,90.35972443457786
null,23.817227872179814,90.36001830780401,23.817488152043097,90.36088975232036
null,23.72811392444659,90.40421097743211,23.72785121714803,90.40780566039592
null,23.727717030836516,90.40843444804148,23.72808829799891,90.40398754516411
Topkhana Road,23.730019543483834,90.41010115283024,23.723236492615385,90.4107052283303
Bangabandhu Avenue,23.723229877413985,90.41082373117962,23.73000366782601,90.41024133303
Noor Box Lane,23.716020223474914,90.4004535657449,23.715741891199144,90.40231779575225
Abul Khairat Road,23.71579249711165,90.40201002193027,23.716478567539923,90.40246910372213
Road Number 2,23.773175815186946,90.35814793275802,23.770936173487016,90.3587602231521
null,23.764594753469765,90.35132746057837,23.764410302299083,90.3547165411091
null,23.76340579362511,90.35323501152573,23.76367988206171,90.35502618369304
Road No 10,23.76299384424466,90.35331965220331,23.763341708097812,90.35547236557358
Road No 10,23.76299384424466,90.35331965220331,23.763341708097812,90.35547236557358
Ring Road,23.768735776927514,90.35849386988474,23.762395522383713,90.3588577363339
Tajmahal Road,23.762479780283456,90.3589936382607,23.771749822174343,90.3600304384442
Road No. 10,23.813506967729396,90.43035184836532,23.824850395251985,90.42933789367879
Kuwaiti Mosque Road,23.80736487762414,90.42386597308644,23.807724627961278,90.42785951152848
null,23.813193319776502,90.43036658097259,23.8165697286924,90.4300362996783
Road No 15,23.816659646251395,90.43013901450445,23.813185218881742,90.43048080694302
null,23.82072143161821,90.42262795578057,23.82089389411354,90.42453768844729
School Rd,23.732384968581073,90.41857024402356,23.729046030202454,90.42069521091975
Mitford Road,23.712528064077205,90.40099652087514,23.714176952348538,90.40111543074028
Road,23.713861912634414,90.40173161407512,23.71358829141755,90.4039219771592
Armanitola Road,23.713688562613356,90.40277482089988,23.712141036408752,90.40238191287256
null,23.757277077416106,90.36198837945653,23.760119447327185,90.37241682207821
Pilkhana Road,23.72623763467827,90.37995359726125,23.72682459995184,90.38446481156285
null,23.726948503492835,90.38655289604549,23.727422008954264,90.38947721015165
null,23.72686444908915,90.38640522659949,23.727422008954264,90.38947721015165
null,23.711539587503268,90.40338120026638,23.711433284955575,90.40395438978686
Gulshan Badda Link Road,23.780414262284253,90.41784545959098,23.780831741754,90.42181599135102
New Elephant Road,23.738793077085475,90.38836832361318,23.73479174102539,90.38481616969432
null,23.79745043781969,90.37285822891272,23.79200180126405,90.37514082370751
Begum Rokeya Avenue,23.791689367972623,90.37508379493181,23.798501960722405,90.37220131516727
Dholaikhal Road,23.71349150670345,90.41369502293276,23.71179263262006,90.41582245851339
Dholaikhal Road,23.71162709879337,90.41592776460237,23.713693062065502,90.41282757871761
Tipu Sultan Road,23.71523942136406,90.41362821884144,23.715023503346544,90.41848776378862
Pioneer Road,23.735981112952118,90.40643589132355,23.734485136917698,90.40655331921653
null,23.73647312429216,90.40646890658712,23.73739364682922,90.40694818383952
Bir Uttam Samsul Alam Sarak,23.737419249132998,90.40692339363682,23.7364225011827,90.40645555801643
Pioneer Road,23.7361556776374,90.4064249467479,23.737367847969338,90.40694667299823
Pioneer Road,23.736254607533652,90.40644109541762,23.737367847969338,90.40694667299823
Pioneer Road,23.736254607533652,90.40644109541762,23.737367847969338,90.40694667299823
Pioneer Road,23.736297177627833,90.40643146055402,23.737367847969338,90.40694667299823
Bash Bari Road,23.760764565926223,90.35896195494962,23.75789543843915,90.36014777116037
Satmasjid Road,23.757826706475754,90.36018269947294,23.76004848877696,90.35893401229958
পান্থপথ,23.752496652120968,90.38148298265082,23.7485643870789,90.3819839870211
null,23.750170362385973,90.38213547120546,23.74868433088028,90.38232382744542
null,23.792932011142227,90.35908258651472,23.793431083402893,90.36050733549001
null,23.798268644256552,90.35524125662761,23.800034538884645,90.35624210375113
South Bishil Road,23.795123998633315,90.35124442943015,23.795277057860204,90.35218525315099
South Paikpara Road,23.789217544048086,90.36104426910151,23.78899025247854,90.36209141436086
Taj Lane,23.788167150448047,90.35992394604824,23.788111676665253,90.36104296817888
South Paikpara Road,23.787447731277624,90.35971815346943,23.788704995172694,90.35968657138125
Bailey Road,23.741726455570983,90.40619056782913,23.741730153281708,90.40835820760384
Khondokar Goli,23.743652171810396,90.40951639774374,23.744060499012093,90.40983845031457
null,23.737469654539467,90.409235364724,23.736886646109554,90.41206296747339
Shantinagar Road,23.74052110290893,90.41339245268512,23.741450030091556,90.41210060861755
Shantinagar Road,23.741461055893723,90.41212620459555,23.741875901021587,90.41218191348895
Bir Uttam Samsul Alam Road,23.741731187754937,90.41205694489031,23.744024529561727,90.41424013125169
Malibagh Mor Road,23.744072766485857,90.41423260302281,23.739913299787602,90.41984414479435
East Noyatola Road,23.75498398790191,90.41511951305824,23.75680867323777,90.41634457857305
Malibagh Chowdhury Para Road,23.753778449372604,90.41493844161488,23.75498840736269,90.41511497570679
Outer Circular Road,23.744434699998592,90.41403129940704,23.740134644987634,90.41979381166175
Minto Road,23.741495664157128,90.39623582193747,23.742039767144107,90.39811586748499
Minto Road,23.74145415517617,90.39646378052407,23.741936556030538,90.39838917267218
null,23.732267041312696,90.396263133101,23.73070540532393,90.39778653759652
null,23.732257814701455,90.39613785068906,23.72984840660652,90.3985070702148
null,23.732484086319488,90.3949082940664,23.731584572213904,90.39527809182192
null,23.759652866238014,90.44636273618136,23.75802366636232,90.44747091969163
null,23.78065906283949,90.4239216075199,23.780578617265434,90.42556213264118
Gulshan Badda Link Road,23.780670201453518,90.42557836207357,23.78071228065346,90.42397435317508
null,23.780650399472393,90.42389726337137,23.780587280637334,90.4255580752831
null,23.794709218321998,90.35854793077527,23.793016469898873,90.3590268706829
null,23.740284487671403,90.4319680211911,23.740532408943196,90.43421959130416
Basabo Madertek Road,23.74004379632558,90.43389601743115,23.73839922963971,90.43439842651333
null,23.806112575839123,90.35202676596214,23.809411056876144,90.36115542647087
